time,waist,shoulder,elbow,forearm_roll,wrist_angle,wrist_rotate,waist_d,shoulder_d,elbow_d,forearm_roll_d,wrist_angle_d,wrist_rotate_d,gripper
0.66,0,-3.89899640351743e-09,2.49315001345507e-05,0,9.65834020026988e-06,0,0,-4.96499713432966e-08,0.000154130704682676,0,5.97098101628254e-05,0,0.026
0.67,0,-4.39549613373558e-09,2.64728071814324e-05,0,1.02554383018981e-05,0,0,-5.50887193561503e-08,0.000161149228304948,0,6.24288087718723e-05,0,0.026
0.68,0,-4.94638330295061e-09,2.80842994643815e-05,0,1.08797263896169e-05,0,0,-6.10291850252423e-08,0.000168375926978502,0,6.52284595754588e-05,0,0.026
0.69,0,-5.55667517554426e-09,2.97680587341698e-05,0,1.15320109853714e-05,0,0,-6.75091515795726e-08,0.000175813723424285,0,6.81098953186697e-05,0,0.026
0.7,0,-6.23176671377124e-09,3.15261959684121e-05,0,1.22131099385581e-05,0,0,-7.45686990478246e-08,0.000183465534281308,0,7.10742464204258e-05,0,0.026
0.71,0,-6.9774537259093e-09,3.33608513111705e-05,0,1.29238524027624e-05,0,0,-8.22502096865139e-08,0.00019133426998141,0,7.41226409262662e-05,0,0.026
0.72,0,-7.79995584787585e-09,3.52741940110035e-05,0,1.36650788120251e-05,0,0,-9.0598461811349e-08,0.000199422834757651,0,7.7256204512934e-05,0,0.026
0.73,0,-8.70594046853412e-09,3.72684223585718e-05,0,1.44376408571544e-05,0,0,-9.96607898214232e-08,0.000207734126681842,0,8.04760605042879e-05,0,0.026
0.74,0,-9.70254837584505e-09,3.93457636253536e-05,0,1.52424014621973e-05,0,0,-1.09487132708767e-07,0.000216271037569522,0,8.37833298358965e-05,0,0.026
0.75,0,-1.07974196805749e-08,4.15084740010285e-05,0,1.60802347605563e-05,0,0,-1.2013014874618e-07,0.000225036452996851,0,8.71791310630271e-05,0,0.026
0.76,0,-1.19987211832928e-08,4.37588385310828e-05,0,1.69520260711865e-05,0,0,-1.31645396353725e-07,0.000234033252405773,0,9.06645804028688e-05,0,0.026
